coord_x,coord_y,collar,roots,tree_crown,trunk
1913467.3957,4224750.5796,0,0,1,1
1913252.86112,4224248.59209,0,0,1,0
1915760.33314,4222814.79402,1,0,0,1
1912468.83713,4222442.2419,0,0,0,1
1912518.42713,4222040.32129,0,0,1,0
1914195.98408,4224108.2915,0,0,1,0
1915048.42763,4224743.30025,0,0,1,0
1913563.96673,4225195.08638,1,0,1,1
1912577.56102,4223699.60943,0,0,1,0
1914955.88129,4223285.44146,0,0,1,1
1914179.34956,4221789.79591,0,0,1,0
1913987.48666,4221681.1604,0,0,1,0
1915714.10295,4224564.58037,0,0,0,1
1915547.53078,4225047.80421,0,0,1,0
1916161.56169,4223252.36155,0,0,1,0
1915623.21063,4222612.35194,0,0,0,1
1915659.58847,4222691.87575,0,0,0,1
1914746.40985,4222424.43146,0,0,0,1
1915014.25326,4222883.09061,0,0,1,0
1912460.94239,4223534.51752,1,0,0,0
1915052.92242,4222127.93155,1,0,1,1
1914921.16628,4221432.3834,0,0,1,1
1914812.98425,4222311.02463,0,0,0,1
1913710.70334,4223224.52083,0,1,0,0
1912526.44121,4222475.60385,1,0,0,1
1914910.84394,4221433.91403,0,0,1,0
1912595.80041,4223770.31415,0,0,1,0
1914260.53151,4221469.42029,0,0,1,1
1915038.29283,4221716.5154,0,0,1,0
1915180.97972,4225765.81507,0,0,0,1
1915279.00034,4224613.67134,0,0,1,0
1913719.28629,4223213.08758,0,0,0,1
1913735.34699,4223566.22688,0,0,0,1
1914904.63519,4222776.64685,0,0,1,0
1912524.96894,4222558.41772,1,1,0,0
1915358.17097,4222098.18745,0,0,1,0
1915245.85534,4224036.91275,0,0,1,0
1914331.64279,4222553.6369,0,0,0,1
1914662.221,4221714.09372,0,0,1,0
1913831.57574,4224769.60993,0,1,0,0
1915270.74137,4225051.58694,0,1,0,0
1913519.52212,4224775.89067,0,0,1,0
1912819.6449,4221426.41137,1,0,0,1
1912469.16754,4221688.28846,0,0,1,0
1915423.43627,4222988.4025,0,0,1,1
1915168.76248,4222813.94509,0,1,0,0
1915546.39991,4224991.85233,0,0,1,0
1913966.96945,4221747.57745,0,0,1,0
1913043.37854,4221989.21501,0,0,1,0
1914371.97001,4224098.81951,0,0,1,0
1915137.02194,4221851.23863,0,0,1,0
1914147.22816,4222820.14281,0,0,1,0
1913329.71239,4224528.13586,0,0,1,1
1915105.59199,4224677.58987,0,0,1,0
1913862.28944,4223192.38758,0,0,1,0
1915238.38352,4225086.53164,0,0,1,0
1914081.16864,4221853.24722,0,0,0,1
1913729.62551,4224639.15669,0,0,0,1
1915422.29032,4224607.84087,0,0,0,1
1912437.31529,4222687.07479,0,0,1,0
1913379.08268,4225392.11445,1,0,1,1
1915435.90608,4222179.35031,0,0,1,0
1913243.33829,4223058.3393,0,0,1,0
1915488.66432,4224557.62272,0,0,1,0
1913830.84369,4222444.53198,0,0,1,0
1915014.77871,4221482.68847,0,0,1,0
1915199.74651,4224991.23312,0,0,1,0
1913738.05393,4223303.54725,0,1,0,0
1914765.57632,4225459.83342,0,0,1,0
1913370.98026,4225426.23035,1,0,1,1
1913926.39959,4223171.94382,0,0,1,1
1914835.26484,4224066.2205,0,0,1,0
1915246.20247,4223101.40096,0,0,0,1
1914373.77376,4224094.0265,0,0,1,0
1914745.50577,4222460.42029,0,0,0,1
1914963.30419,4222554.19919,0,0,1,1
1914190.20482,4222293.97102,1,0,0,0
1913388.35326,4225494.7726,0,0,1,1
1914465.45929,4224049.64431,0,0,1,0
1913139.55114,4222838.56752,0,0,0,1
1913208.63509,4223023.38921,0,0,1,0
1915173.29725,4224626.05333,1,1,1,0
1914980.70034,4221424.85888,0,0,1,1
1915439.44065,4222200.64841,0,0,1,0
1912582.40623,4221401.57775,1,0,0,1
1912662.7226,4223915.24178,0,0,1,0
1912624.09904,4223908.90441,0,0,1,0
1913638.6286,4221575.53727,0,0,0,1
1915159.66168,4222016.34144,1,0,1,1
1913157.97393,4222074.01376,0,0,1,0
1915682.63793,4224493.27689,0,0,0,1
1915134.00814,4224659.15679,0,0,0,1
1915015.11635,4224478.45241,0,1,0,0
1915651.80062,4224611.19767,1,0,1,0
1913770.13376,4223286.77591,0,1,0,1
1914192.7316,4222274.30958,0,0,1,1
1914450.48306,4222801.45205,0,0,1,0
1913564.24276,4223073.70397,0,0,1,0
1914168.3517,4221811.18627,0,0,1,0
1915066.42485,4225180.03371,0,0,1,1
1915522.47355,4223266.35011,0,0,0,1
1916234.64107,4223282.12645,0,0,1,0
1915571.3464,4223264.49703,1,0,0,0
1914279.10314,4223862.13175,0,0,0,1
1915404.13608,4223306.87091,0,1,0,0
1913363.88956,4225441.97281,1,0,1,0
1914954.72816,4222519.65553,0,0,1,0
1915507.38038,4223262.60996,0,1,0,1
1912692.42455,4223099.69441,0,1,1,0
1915421.30313,4223056.135,0,0,0,1
1915808.79502,4224591.25255,0,0,1,1
1913966.13554,4221616.80694,1,0,0,0
1913449.27765,4225658.71502,1,0,1,1
1914745.6978,4221885.36652,0,0,1,0
1915516.66529,4222484.73577,0,0,1,1
1913477.5857,4225212.17493,1,0,1,0
1912496.98474,4222577.46812,0,0,0,1
1915016.70503,4223276.32529,1,1,0,0
1912908.50392,4224657.04551,0,0,1,0
1913778.68783,4225211.80386,0,0,1,0
1913186.65116,4224572.30789,0,0,1,0
1913816.72805,4221569.46659,1,0,1,1
1914817.51848,4225417.19083,0,0,1,0
1915281.06149,4222888.35458,0,0,0,1
1914933.09157,4222562.33445,0,0,1,0
1914288.57344,4224526.78718,0,0,1,0
1912615.96868,4223908.7156,0,0,1,0
1914071.09217,4224308.09652,0,0,1,1
1915322.40796,4225380.17473,0,0,1,0
1915449.25445,4223170.58812,0,1,0,0
1914631.2758,4221510.63842,1,1,0,1
1913783.31315,4224862.60098,1,1,1,1
1915015.96114,4222888.93912,0,0,1,0
1915804.81317,4223615.48403,0,0,1,0
1912975.11462,4221415.61206,0,0,1,0
1915767.34014,4223513.26717,1,0,0,1
1915357.14466,4221653.70329,0,0,1,0
1914900.89465,4222183.06728,0,0,1,0
1915697.15995,4225101.57441,0,1,1,0
1914932.03426,4222787.16241,1,0,0,0
1915281.01462,4225261.96819,0,0,1,1
1914861.00678,4225045.88959,0,0,0,1
1914053.68964,4222111.1486,0,0,1,0
1912948.70628,4224842.61022,0,0,1,1
1915008.79747,4222927.4697,0,0,1,0
1914397.17166,4224090.16104,0,0,1,0
1914110.6806,4224293.94151,0,1,0,1
1915353.27963,4225372.78784,0,0,1,0
1914435.6809,4221413.67621,0,0,0,1
1913474.46377,4225618.74637,1,0,1,1
1913764.22249,4223184.21192,0,0,0,1
1915654.15941,4223526.23463,0,0,0,1
1915349.34955,4221561.46513,0,0,1,0
1915669.14938,4225223.87506,0,0,0,1
1914151.28383,4221457.30304,0,0,0,1
1915318.72948,4225744.29139,0,0,0,1
1914221.91416,4221924.1502,0,0,0,1
1914944.95849,4225249.04891,0,1,0,0
1915277.72466,4223997.3016,0,0,1,0
1913750.27806,4221396.786,0,0,1,0
1912397.71295,4221726.39188,1,1,0,1
1912700.69086,4223105.99152,0,0,1,0
1914652.49526,4221567.19978,0,1,1,0
1912491.82456,4222534.41174,1,0,1,1
1915314.57321,4224797.02374,0,0,1,0
1915292.46473,4225372.89862,0,0,1,0
1913621.61023,4223205.30296,0,0,1,1
1914285.83591,4224322.9693,0,1,0,0
1913239.07646,4224125.17204,1,1,0,0
1912976.87963,4225125.23469,0,0,1,1
1915072.82237,4224667.96915,0,0,0,1
1913234.58499,4223011.84534,1,1,0,1
1914405.16104,4224042.31646,0,1,1,0
1912529.95215,4222092.76781,0,0,1,1
1915630.77807,4225405.05847,0,1,0,0
1914730.36016,4222862.55406,0,0,1,0
1913486.07442,4225626.48814,1,0,1,0
1915828.2409,4223114.33098,1,0,0,0
1915251.82019,4222838.72805,0,0,0,1
1913732.66717,4223323.7974,0,0,1,1
1914159.60694,4221793.11299,0,0,1,1
1914013.5213,4221625.00073,1,0,1,0
1914973.25703,4222812.59476,0,0,1,1
1915077.2604,4221438.95052,0,0,1,1
1914894.67798,4221878.52833,1,0,0,1
1914011.68713,4222439.31048,0,0,1,0
1915153.07432,4224662.30912,0,0,0,1
1915651.45485,4225170.2946,1,0,1,0
1915686.67406,4225308.53204,0,0,1,1
1913873.55912,4223197.05932,0,0,1,0
1913237.9798,4225078.00357,0,1,0,0
1914972.13014,4222834.73426,0,0,1,0
1916084.6537,4223160.80967,0,0,1,0
1915346.00562,4225356.91707,0,0,1,0
1915331.85106,4224686.5667,0,0,1,1
1912606.81256,4221950.49424,1,0,0,1
1912428.20196,4222611.04784,1,1,0,1
1914653.70905,4221559.47349,0,1,1,0
1915008.06282,4224481.50294,0,0,1,0
1915059.44471,4225140.00889,0,0,1,0
1914859.25203,4222301.26332,0,1,0,0
1914898.38092,4221409.22138,0,0,1,1
1912376.78999,4222596.49524,0,0,0,1
1915262.74335,4223111.11455,0,0,1,0
1913033.93062,4221230.39267,1,0,0,0
1914445.78426,4221516.85031,0,0,1,0
1912428.23688,4223508.09657,0,0,1,0
1914228.96206,4221948.33357,0,0,0,1
1915310.09793,4224801.56685,0,0,1,0
1913350.34449,4224789.33132,0,0,0,1
1915613.22235,4225261.40323,0,0,1,0
1913114.8959,4222076.08954,0,0,1,0
1914783.96668,4224896.36523,0,0,0,1
1913890.67554,4223162.68448,1,0,0,1
1913941.58406,4224557.7974,0,0,1,1
1913362.88881,4225447.30871,1,0,1,0
1913121.33849,4222180.53758,1,1,1,0
1914393.72089,4224087.3373,0,1,1,0
1915010.57252,4224635.88623,0,1,0,0
1914651.93738,4222113.96738,0,1,1,0
1915051.30614,4222747.24535,0,0,1,0
1912992.63438,4223036.9323,1,0,1,0
1914518.06403,4221699.89104,0,0,1,1
1913438.27521,4225465.32968,0,0,1,1
1913903.26607,4221713.80137,0,1,0,1
1915172.67037,4223093.22355,1,1,1,0
1914125.70786,4221790.01822,0,1,1,1
1913288.95293,4224545.45138,0,0,1,0
1913423.65969,4225588.03405,0,0,1,0
1915232.61351,4223064.17626,0,0,1,0
1915638.59617,4222528.80851,0,0,0,1
1915634.50147,4222339.62254,0,0,1,0
1914943.15043,4222507.65489,0,0,1,0
1916060.90556,4223189.59242,0,0,1,0
1912621.42061,4221761.66604,1,1,0,1
1915343.27373,4224734.63134,0,0,1,0
1914063.58549,4224321.97736,1,1,1,0
1913973.58157,4222735.99484,0,0,1,1
1914141.36541,4224311.07883,0,0,0,1
1912933.94662,4225253.95295,0,0,1,0
1914186.52892,4222279.30429,0,0,0,1
1914814.06542,4222303.74694,0,0,0,1
1915461.14231,4224687.85249,0,0,0,1
1915499.18533,4222946.53177,0,0,0,1
1913672.36883,4225179.06114,0,0,0,1
1913948.59218,4221727.81679,0,0,0,1
1913294.88699,4223026.43018,1,0,1,1
1914903.49979,4222496.39419,1,0,1,0
1915471.76447,4222671.95552,0,0,0,1
1915345.19045,4222407.36006,0,0,1,0
1915068.62629,4225147.06474,0,0,1,1
1912669.45767,4221757.94207,0,0,1,0
1915623.94645,4222619.79459,0,0,0,1
1915743.72248,4224592.79239,0,0,1,0
1914739.11155,4222173.18554,0,0,0,1
1913423.31126,4224739.63939,0,0,1,1
1913832.06395,4223281.20286,0,0,0,1
1912607.54272,4223222.21397,0,0,0,1
1914907.10291,4222679.82728,1,0,1,0
1913777.35406,4223296.25055,0,1,0,0
1915281.56293,4225010.12907,0,0,1,0
1915244.11065,4223055.87177,0,1,0,0
1914481.86678,4224106.9424,0,1,0,0
1914465.26796,4224065.43194,0,0,1,0
1913363.30033,4222430.31814,0,0,1,1
1912608.54523,4223239.30863,0,0,1,0
1912833.92788,4221950.16279,0,0,0,1
1916022.22452,4223363.49875,0,0,0,1
1916082.80979,4223217.64036,0,0,1,1
1912787.26396,4222005.25176,1,0,1,1
1915654.99964,4225330.44036,0,0,1,0
1915611.35221,4223582.40098,0,0,1,0
1914744.51856,4222706.08904,0,0,1,0
1914447.90643,4221813.88509,1,0,1,1
1912976.01455,4224808.03536,0,0,1,0
1915003.55422,4223267.87609,0,0,1,1
1915647.45837,4223594.84883,0,0,1,0
1914789.8288,4222272.1334,0,0,1,0
1914303.12669,4224138.43253,0,0,1,1
1913643.05548,4225251.39005,0,0,1,1
1912967.85291,4222298.66201,0,0,1,0
1915405.11664,4222597.52166,0,0,1,1
1915773.92379,4222880.60458,0,0,0,1
1913062.62938,4221992.43686,0,0,1,0
1913327.38267,4224537.4423,0,0,1,0
1915105.06346,4224679.54958,1,0,0,0
1915710.73902,4225312.96699,0,0,1,0
1915074.52267,4224793.67127,0,0,1,1
1913391.75736,4225487.39787,1,0,1,1
1914896.12675,4222515.82746,1,0,1,0
1913307.28087,4223040.45539,0,0,1,0
1915314.3867,4224660.39099,1,0,1,0
1914465.54099,4224132.5022,0,1,1,0
1916081.412,4223174.14272,0,0,1,0
1915211.21445,4222176.07546,0,0,1,0
1916088.98157,4223222.02785,0,0,1,1
1914773.01824,4222458.08027,0,0,1,0
1912808.01371,4221697.32839,1,1,0,1
1913392.8469,4225556.52049,0,0,0,1
1915562.98253,4222567.66952,1,1,1,1
1915450.96994,4221882.62651,0,0,1,0
1912491.12152,4222350.58322,0,0,1,0
1914963.4322,4220567.1333,0,0,1,0
1913968.03991,4224506.35644,1,1,0,1
1913204.91432,4224368.07995,0,0,1,0
1912677.77858,4223081.36664,0,0,0,1
1914945.71223,4222573.15011,0,0,1,0
1914965.73671,4224759.96083,0,1,0,0
1912673.80112,4222887.50234,0,0,1,0
1915236.58285,4222188.39344,1,1,0,0
1914061.29872,4224266.22598,0,1,1,0
1914986.3036,4221610.23264,1,0,1,1
1915313.64045,4222048.54485,0,0,1,0
1914215.11745,4222025.45522,0,0,0,1
1914168.15672,4224910.42089,0,0,0,1
1914996.71859,4224452.27664,0,1,0,0
1915166.08622,4222396.7584,0,0,0,1
1916076.16571,4223364.97428,1,0,0,1
1915321.49803,4225090.06154,0,0,1,0
1913996.85243,4221735.29408,0,0,0,1
1914922.6108,4222028.41199,1,0,1,0
1914862.15983,4221794.40194,0,0,1,0
1914094.43719,4221632.43149,0,0,1,0
1914605.76988,4221758.3923,0,0,1,0
1915216.48895,4223173.16204,0,0,1,0
1914947.47521,4222811.91863,0,0,0,1
1914936.57397,4223657.96351,0,0,0,1
1914220.45719,4221582.60934,0,0,0,1
1915656.11603,4223907.5093,0,0,0,1
1915483.78523,4222667.73364,1,0,1,0
1913808.989,4221494.97287,0,0,0,1
1915419.87667,4224611.94148,0,0,1,0
1915183.20393,4222182.19533,0,0,1,0
1915693.11805,4225305.317,0,0,1,0
1914849.12897,4220740.16523,0,0,1,0
1915032.92395,4225128.89284,1,0,1,0
1914775.71473,4225441.03943,0,1,0,0
1911950.14708,4226244.66309,0,0,1,0
1915204.4261,4222813.69606,0,1,1,0
1912422.9041,4223507.1038,1,0,1,1
1915352.96931,4225331.47636,0,0,1,0
1915136.04744,4224676.00151,0,0,1,0
1914365.81191,4222053.55312,0,0,1,0
1914730.92328,4221590.44065,0,1,1,0
1914878.38937,4225330.92751,1,1,1,0
1914999.17951,4224789.66602,0,1,0,0
1914161.00673,4224945.9525,0,1,0,0
1915547.02188,4225051.00577,0,0,1,1
1914911.49728,4222562.86572,0,0,1,0
1914891.56907,4224391.13997,0,0,1,0
1912919.48898,4224821.20666,0,0,1,0
1912498.59769,4221707.40497,0,0,1,0
1914158.1019,4223081.96285,0,0,1,0
1914623.54595,4222227.21038,0,0,0,1
1914805.13978,4222279.84717,0,0,0,1
1915873.48708,4223131.8469,1,0,0,0
1914561.34869,4221906.0051,1,0,1,1
1915047.17693,4224673.29098,0,0,1,0
1915590.29268,4222914.63633,0,0,0,1
1912500.9024,4221916.8147,0,0,1,1
1913957.21358,4223239.6455,0,0,1,0
1915306.86826,4225838.41937,0,0,1,1
1912854.14669,4221938.63596,1,0,1,1
1915140.56846,4222783.78936,0,0,1,0
1912546.92671,4222562.85035,0,0,1,1
1913288.09726,4224542.68714,0,0,1,0
1913575.41366,4222985.57545,0,0,0,1
1914527.91741,4223240.26463,0,0,0,1
1913419.74192,4225294.31024,1,0,1,0
1914484.9188,4221415.24207,0,0,0,1
1912808.71004,4221787.27433,1,0,0,1
1915546.84992,4225004.46224,0,0,1,0
1914465.91228,4224204.53114,1,0,0,0
1915331.68363,4221750.71741,0,0,1,0
1915538.97964,4223508.62354,1,0,0,0
1915471.27626,4223265.04302,0,0,1,0
1913879.36474,4221701.88018,0,0,1,0
1914712.50163,4222534.9667,0,0,0,1
1914703.04343,4224242.3959,0,0,0,1
1915516.19878,4225104.74836,1,0,1,0
1915078.01026,4222171.97814,0,0,0,1
1913423.08517,4225256.22958,0,0,1,0
1913661.29995,4225184.33475,0,0,0,1
1912745.95809,4222025.33027,0,0,1,0
1914806.54845,4221441.82097,0,0,1,0
1914816.45943,4223970.69178,0,0,1,0
1915335.83521,4221809.55981,0,0,1,0
1915486.36741,4223251.20916,0,1,1,0
1914246.35269,4221819.63895,0,0,1,0
1913559.14763,4225205.76236,1,0,1,1
1913947.72137,4223249.96571,0,0,1,0
1913945.8486,4221703.35108,0,0,1,0
1913241.42998,4225068.7787,0,1,0,0
1915034.4444,4222614.97677,0,0,1,0
1913802.60799,4223290.5513,0,1,0,1
1915346.71795,4224670.92533,0,0,1,0
1914389.65395,4224099.11653,0,0,1,0
1913401.94468,4225489.75099,1,1,1,0
1912633.61902,4223143.17187,0,0,1,0
1914253.75491,4224081.46024,0,0,1,0
1913721.09459,4223222.20295,0,0,1,0
1912524.05026,4223531.90534,1,0,1,1
1913148.53155,4222063.16697,0,0,1,0
1912993.48887,4222230.56402,0,0,1,0
1913642.50115,4225132.68317,0,0,1,0
1912535.12809,4222553.42185,0,1,0,1
1915532.55159,4223293.82325,0,0,0,1
1915366.95757,4225257.97574,0,0,1,0
1915138.51867,4222236.78521,0,0,1,0
1913925.15163,4221678.13946,0,0,0,1
1914858.35445,4222287.46559,0,0,0,1
1915629.83334,4222611.49227,0,0,1,0
1915231.56334,4223126.55717,0,1,0,0
1915405.71152,4223063.24339,0,0,1,1
1912661.2349,4223046.02507,0,1,1,0
1913652.31605,4225152.79601,1,0,0,0
1914427.20802,4221523.70023,0,0,1,1
1915699.3712,4224494.80298,0,0,0,1
1913670.23053,4224085.68923,1,0,0,0
1915335.29115,4221919.53093,0,0,1,0
1914326.16551,4221837.57182,0,0,1,0
1913846.78288,4223141.76588,0,1,0,0
1914804.11245,4222279.17337,0,0,0,1
1915593.49739,4223234.25596,0,1,0,0
1914067.24917,4224315.21459,0,1,0,1
1914525.50814,4221774.53995,0,0,1,0
1913853.48032,4223369.14889,1,0,0,0
1916157.36599,4222543.9096,0,0,1,0
1912835.93837,4221749.73561,1,1,0,1
1913893.083,4223264.19138,0,0,1,1
1913814.66018,4223528.76473,0,0,0,1
1913462.12802,4225224.18076,0,0,1,0
1913500.2282,4225332.61948,0,0,1,0
1915613.45003,4225167.57928,0,0,1,0
1914997.92702,4224592.34631,0,0,1,0
1912624.42314,4221755.40413,1,1,0,1
1915687.45109,4225285.65289,0,1,0,1
1915117.19907,4221530.58941,0,0,1,0
1914719.81985,4222862.06935,0,0,1,0
1913668.88275,4223233.04435,0,1,1,0
1913225.77928,4222092.73118,0,0,0,1
1915515.32438,4222941.00968,0,0,0,1
1914045.35001,4223995.78694,0,0,1,0
1915542.2808,4222763.7446,0,0,0,1
1914319.29553,4224044.09178,1,1,1,0
1914699.83104,4223834.49401,0,1,0,0
1914645.78292,4221708.75788,0,0,1,0
1913861.67778,4223300.70698,1,1,0,0
1912837.08336,4221940.43812,1,0,1,1
1913721.68193,4225212.53741,0,0,1,0
1912919.43437,4225252.22894,0,0,1,0
1912988.82297,4223035.35115,1,0,0,0
1914314.91084,4221399.27451,0,0,1,1
1913402.51181,4225344.53288,1,0,1,1
1915686.74072,4222722.84927,1,0,0,1
1913121.58118,4221929.68233,0,0,1,1
1914812.41458,4222243.63452,0,0,1,0
1912531.80544,4221685.04758,1,0,1,1
1914717.05165,4221677.69541,0,0,0,1
1913394.3971,4225379.54077,1,0,1,1
1915318.03688,4225382.054,0,0,1,0
1913772.9011,4224856.02604,0,0,1,1
1914338.39388,4224037.54895,1,1,1,0
1913426.11551,4225297.56093,0,0,1,1
1914796.91753,4224860.37708,0,1,0,0
1914243.33673,4224941.1481,0,1,1,0
1915187.17083,4224786.48646,0,0,1,1
1913456.40089,4225655.94878,0,0,1,0
1912668.95571,4221750.75963,0,0,1,0
1913113.17813,4222082.47476,0,0,1,0
1914014.8331,4221965.42775,0,0,0,1
1914545.29221,4221552.39933,0,0,1,1
1913253.91198,4224588.33693,1,0,1,0
1914261.59856,4221986.59099,0,0,1,1
1914279.7,4224134.07715,0,0,1,0
1915560.80324,4222831.28667,0,0,1,0
1914877.65896,4225342.93972,0,0,1,0
1915707.09346,4225135.07599,0,0,1,0
1913168.55808,4223032.41962,0,0,1,0
1915073.03469,4221515.00967,0,0,1,0
1914077.04249,4224739.95778,1,0,0,1
1914823.37849,4221937.85235,0,0,0,1
1915244.29559,4224985.44117,0,0,1,1
1914158.16587,4224991.55553,0,0,0,1
1914293.93805,4224107.38926,0,0,1,0
1913224.04127,4225640.54096,1,0,1,0
1914754.58663,4221635.3199,1,0,1,1
1914885.07244,4225331.54514,1,0,0,0
1915189.30781,4222795.00475,0,1,1,0
1914453.06447,4222252.65726,0,0,0,1
1912495.11669,4221922.60759,1,0,1,1
1914736.9583,4221667.05698,0,0,0,1
1912380.00192,4221924.86038,1,1,1,1
1914825.73679,4225054.91472,0,0,1,1
1914730.33665,4225274.27814,0,0,1,0
1914642.9422,4225131.08286,0,0,1,0
1913477.90733,4225399.8104,1,1,1,0
1911977.96087,4226312.35975,0,0,1,0
1913762.46438,4224876.36614,1,1,0,0
1912701.23402,4221964.4794,1,0,1,1
1914745.6449,4221661.1247,0,0,0,1
1915162.05657,4222875.59863,1,0,1,1
1915406.65153,4224618.08712,0,0,1,0
1912659.26775,4223217.90049,0,0,1,0
1912853.24866,4223044.54555,0,0,1,1
1914109.04985,4221575.81776,1,0,0,1
1914347.96005,4221803.27669,0,0,1,1
1912624.6888,4223948.00819,0,0,1,0
1914289.6512,4223985.79133,1,0,0,1
